station_id,month_date,rolling_3m_tavg
IN009010500,1906-07-01,
IN009010500,1906-08-01,
IN009010500,1906-09-01,
IN009010500,1906-10-01,
IN009010500,1906-11-01,
IN009010500,1906-12-01,
IN009010500,1907-01-01,
IN009010500,1907-02-01,
IN009010500,1907-03-01,
IN009010500,1907-04-01,
IN009010500,1907-05-01,
IN009010500,1907-06-01,
IN009010500,1907-07-01,
IN009010500,1907-08-01,
IN009010500,1907-09-01,
IN009010500,1907-10-01,
IN009010500,1907-11-01,
IN009010500,1907-12-01,
IN009010500,1908-01-01,
IN009010500,1908-02-01,
IN009010500,1908-03-01,
IN009010500,1908-04-01,
IN009010500,1908-05-01,
IN009010500,1908-06-01,
IN009010500,1908-07-01,
IN009010500,1908-08-01,
IN009010500,1908-09-01,
IN009010500,1908-10-01,
IN009010500,1908-11-01,
IN009010500,1908-12-01,
IN009010500,1909-01-01,
IN009010500,1909-02-01,
IN009010500,1909-03-01,
IN009010500,1909-04-01,
IN009010500,1909-05-01,
IN009010500,1909-06-01,
IN009010500,1909-07-01,
IN009010500,1909-08-01,
IN009010500,1909-09-01,
IN009010500,1909-10-01,
IN009010500,1909-11-01,
IN009010500,1909-12-01,
IN009010500,1910-01-01,
IN009010500,1910-02-01,
IN009010500,1910-03-01,
IN009010500,1910-04-01,
IN009010500,1910-05-01,
IN009010500,1910-06-01,
IN009010500,1910-07-01,
IN009010500,1910-08-01,
IN009010500,1910-09-01,
IN009010500,1910-10-01,
IN009010500,1910-11-01,
IN009010500,1910-12-01,
IN009010500,1911-01-01,
IN009010500,1911-02-01,
IN009010500,1911-03-01,
IN009010500,1911-04-01,
IN009010500,1911-05-01,
IN009010500,1911-06-01,
IN009010500,1911-07-01,
IN009010500,1911-08-01,
IN009010500,1911-09-01,
IN009010500,1911-10-01,
IN009010500,1911-11-01,
IN009010500,1911-12-01,
IN009010500,1912-01-01,
IN009010500,1912-02-01,
IN009010500,1912-03-01,
IN009010500,1912-04-01,
IN009010500,1912-05-01,
IN009010500,1912-06-01,
IN009010500,1912-07-01,
IN009010500,1912-08-01,
IN009010500,1912-09-01,
IN009010500,1912-10-01,
IN009010500,1912-11-01,
IN009010500,1912-12-01,
IN009010500,1913-01-01,
IN009010500,1913-02-01,
IN009010500,1913-03-01,
IN009010500,1913-04-01,
IN009010500,1913-05-01,
IN009010500,1913-06-01,
IN009010500,1913-07-01,
IN009010500,1913-08-01,
